TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,ZIPCODE,CENTERLONGITUDE,CENTERLATITUDE
V02,1000805,南投縣,集集鎮,Jiji Township,M,10008,552,120.785419156725,23.8370168692079
V02,1000806,南投縣,名間鄉,Mingjian Township,M,10008,551,120.677440234579,23.8510770978318
V02,1000807,南投縣,鹿谷鄉,Lugu Township,M,10008,558,120.781506517377,23.7377602852249
V02,1000808,南投縣,中寮鄉,Zhongliao Township,M,10008,541,120.78591587985,23.9058921406606
V02,1000809,南投縣,魚池鄉,Yuchi Township,M,10008,555,120.925673579295,23.8760121252657
V02,1000810,南投縣,國姓鄉,Guoxing Township,M,10008,544,120.86760521641,24.0313541253917
V02,1000811,南投縣,水里鄉,Shuili Township,M,10008,553,120.862272140518,23.7961290718765
V02,1000812,南投縣,信義鄉,Xinyi Township,M,10008,556,121.02128672117,23.6554647049546
V02,1000813,南投縣,仁愛鄉,Renai Township,M,10008,546,121.14438785385,24.0288651252177
V02,1000901,雲林縣,斗六市,Douliu City,P,10009,640,120.560004419108,23.7065188310031
V02,1000902,雲林縣,斗南鎮,Dounan Township,P,10009,630,120.482635621029,23.6706639290201
